Date, Open, High, Low, Close
06/05/26, 15.87, 21.57, 15.56, 21.51
06/04/26, 16.33, 16.80, 15.18, 15.40
06/03/26, 15.97, 16.63, 15.94, 16.06
06/02/26, 16.28, 16.29, 15.71, 15.77
06/01/26, 15.88, 16.34, 15.71, 16.05
05/29/26, 15.81, 15.88, 15.22, 15.32
05/28/26, 16.76, 16.85, 15.61, 15.74
05/27/26, 17.01, 17.18, 16.29, 16.29
05/26/26, 16.92, 17.23, 16.56, 17.01
05/25/26, 16.83, 17.39, 16.46, 16.70
05/22/26, 16.83, 17.39, 16.46, 16.70
05/21/26, 17.58, 17.87, 16.60, 16.76
05/20/26, 18.17, 18.18, 17.13, 17.44
05/19/26, 18.01, 18.36, 17.66, 18.06
05/18/26, 19.25, 19.44, 17.70, 17.82
05/15/26, 18.07, 19.27, 17.80, 18.43
05/14/26, 17.86, 18.08, 17.20, 17.26
05/13/26, 17.98, 18.40, 17.76, 17.87
05/12/26, 18.77, 19.10, 17.92, 17.99
05/11/26, 18.21, 18.47, 17.90, 18.38
05/08/26, 17.37, 17.53, 16.82, 17.19
05/07/26, 17.53, 17.60, 16.85, 17.08
05/06/26, 17.15, 17.46, 16.18, 17.39
05/05/26, 17.95, 18.02, 17.20, 17.38
05/04/26, 17.38, 19.08, 17.15, 18.29
05/01/26, 17.01, 17.39, 16.44, 16.99
04/30/26, 18.68, 18.73, 16.87, 16.89
04/29/26, 17.83, 19.00, 17.81, 18.81
04/28/26, 18.30, 19.43, 17.78, 17.83
04/27/26, 19.21, 19.27, 18.02, 18.02
04/24/26, 18.89, 19.35, 18.46, 18.71
04/23/26, 19.42, 21.56, 18.70, 19.31
04/22/26, 19.03, 19.54, 18.68, 18.92
04/21/26, 19.18, 20.85, 18.75, 19.50
04/20/26, 19.58, 19.99, 18.77, 18.87
04/17/26, 18.18, 18.24, 16.87, 17.48
04/16/26, 18.04, 19.09, 17.76, 17.94
04/15/26, 18.18, 18.50, 17.40, 18.17
04/14/26, 18.73, 18.76, 17.89, 18.36
04/13/26, 21.17, 21.58, 18.96, 19.12
04/10/26, 19.71, 20.28, 18.83, 19.23
04/09/26, 21.25, 21.63, 19.45, 19.49
04/08/26, 20.97, 22.17, 19.91, 21.04
04/07/26, 25.09, 28.00, 24.34, 25.78
04/06/26, 24.93, 25.30, 23.78, 24.17
04/03/26, 26.78, 27.89, 23.87, 23.87
04/02/26, 26.78, 27.89, 23.87, 23.87
04/01/26, 24.30, 25.35, 23.50, 24.54
03/31/26, 29.53, 29.64, 25.08, 25.25
03/30/26, 30.79, 31.52, 29.33, 30.61
03/27/26, 27.54, 31.65, 27.54, 31.05
03/26/26, 26.49, 28.49, 26.12, 27.44
03/25/26, 25.79, 26.67, 24.82, 25.33
03/24/26, 25.91, 27.94, 25.64, 26.95
03/23/26, 30.04, 31.04, 20.28, 26.15
03/20/26, 24.46, 29.28, 23.68, 26.78
03/19/26, 25.60, 27.52, 23.54, 24.06
03/18/26, 21.51, 25.13, 21.47, 25.09
03/17/26, 24.56, 24.58, 21.87, 22.37
03/16/26, 25.88, 26.42, 23.23, 23.51
03/13/26, 27.85, 28.47, 24.67, 27.19
03/12/26, 25.48, 27.33, 24.60, 27.29
03/11/26, 24.90, 26.23, 23.75, 24.23
03/10/26, 24.39, 26.01, 22.19, 24.93
03/09/26, 35.12, 35.30, 24.76, 25.50
03/06/26, 23.20, 29.93, 22.92, 29.49
03/05/26, 22.11, 25.84, 20.55, 23.75
03/04/26, 24.39, 24.87, 20.40, 21.15
03/03/26, 24.57, 28.15, 22.18, 23.57
03/02/26, 24.66, 25.24, 20.37, 21.44
02/27/26, 19.28, 21.74, 18.77, 19.86
02/26/26, 18.07, 20.54, 17.50, 18.63
02/25/26, 19.59, 19.62, 17.86, 17.93
02/24/26, 21.24, 22.08, 19.23, 19.55
02/23/26, 20.49, 22.04, 19.50, 21.01
02/20/26, 20.04, 21.21, 18.76, 19.09
02/19/26, 19.34, 21.11, 19.23, 20.23
02/18/26, 19.78, 20.34, 18.48, 19.62
02/17/26, 21.74, 22.96, 19.76, 20.29
02/16/26, 21.48, 22.40, 18.92, 20.60
02/13/26, 21.48, 22.40, 18.92, 20.60
02/12/26, 17.44, 21.21, 17.08, 20.82
02/11/26, 17.87, 18.96, 16.75, 17.65
02/10/26, 17.47, 17.97, 17.14, 17.79
02/09/26, 17.95, 19.20, 16.90, 17.36
02/06/26, 21.24, 21.49, 17.27, 17.76
02/05/26, 19.24, 23.10, 19.06, 21.77
02/04/26, 17.63, 21.24, 17.47, 18.64
02/03/26, 16.16, 20.37, 16.05, 18.00
02/02/26, 19.95, 19.96, 16.08, 16.34
01/30/26, 18.72, 19.27, 16.67, 17.44
01/29/26, 16.04, 19.74, 16.02, 16.88
01/28/26, 16.09, 17.18, 16.05, 16.35
01/27/26, 16.02, 16.37, 15.74, 16.35
01/26/26, 16.90, 17.39, 15.80, 16.15
01/23/26, 15.68, 16.21, 15.30, 16.09
01/22/26, 16.65, 16.67, 15.27, 15.64
01/21/26, 19.31, 20.81, 16.67, 16.90
01/20/26, 19.94, 20.99, 18.64, 20.09
01/19/26, 15.44, 16.29, 15.30, 15.86
01/16/26, 15.44, 16.29, 15.30, 15.86
01/15/26, 16.52, 16.54, 15.30, 15.84
01/14/26, 16.33, 18.10, 16.22, 16.75
01/13/26, 15.36, 16.50, 14.75, 15.98
01/12/26, 16.06, 16.66, 15.03, 15.12
01/09/26, 15.68, 15.81, 14.43, 14.49
01/08/26, 15.69, 15.85, 15.15, 15.45
01/07/26, 14.95, 15.48, 14.83, 15.38
01/06/26, 15.00, 15.21, 14.63, 14.75
01/05/26, 15.14, 15.27, 14.65, 14.90
01/02/26, 14.85, 15.42, 14.46, 14.51
01/01/26, 14.77, 15.17, 14.38, 14.95
12/31/25, 14.77, 15.17, 14.38, 14.95
12/30/25, 14.43, 14.62, 14.04, 14.33
12/29/25, 14.69, 15.08, 13.99, 14.20
12/26/25, 14.12, 14.29, 13.52, 13.60
12/25/25, 14.09, 14.16, 13.38, 13.47
12/24/25, 14.09, 14.16, 13.38, 13.47
12/23/25, 14.09, 14.45, 13.64, 14.00
12/22/25, 15.16, 15.26, 14.03, 14.08
12/19/25, 16.31, 16.53, 14.91, 14.91
12/18/25, 17.61, 17.68, 15.93, 16.87
12/17/25, 16.45, 18.00, 15.82, 17.62
12/16/25, 17.28, 17.61, 16.19, 16.48
12/15/25, 16.51, 17.35, 15.99, 16.50
12/12/25, 14.99, 17.85, 14.85, 15.74
12/11/25, 16.84, 16.88, 14.85, 14.85
12/10/25, 16.94, 17.66, 15.56, 15.77
12/09/25, 16.66, 17.20, 16.45, 16.93
12/08/25, 16.15, 17.09, 16.10, 16.66
12/05/25, 15.58, 16.18, 15.28, 15.41
12/04/25, 16.23, 16.63, 15.68, 15.78
12/03/25, 16.43, 17.28, 15.93, 16.08
12/02/25, 17.28, 17.31, 16.39, 16.59
12/01/25, 18.05, 18.33, 16.58, 17.24
11/28/25, 17.41, 18.52, 15.78, 16.35
11/27/25, 18.25, 18.70, 16.93, 17.19
11/26/25, 18.25, 18.70, 16.93, 17.19
11/25/25, 20.55, 21.77, 18.39, 18.56
11/24/25, 22.69, 23.68, 20.41, 20.52
11/21/25, 25.97, 27.84, 22.54, 23.43
11/20/25, 20.78, 28.27, 19.28, 26.42
11/19/25, 24.52, 24.79, 21.93, 23.66
11/18/25, 23.54, 25.84, 22.91, 24.69
11/17/25, 19.58, 23.44, 19.54, 22.38
11/14/25, 21.33, 23.03, 19.56, 19.83
11/13/25, 17.61, 21.31, 17.51, 20.00
11/12/25, 17.21, 18.06, 17.10, 17.51
11/11/25, 17.90, 18.01, 17.25, 17.28
11/10/25, 18.58, 18.82, 17.60, 17.60
11/07/25, 19.52, 22.72, 19.08, 19.08
11/06/25, 18.36, 20.31, 17.64, 19.50
11/05/25, 19.37, 20.02, 17.31, 18.01
11/04/25, 19.73, 20.48, 17.90, 19.00
11/03/25, 18.06, 18.83, 17.00, 17.17
10/31/25, 16.43, 18.54, 15.96, 17.44
10/30/25, 16.26, 17.41, 15.73, 16.91
10/29/25, 16.34, 17.58, 16.26, 16.92
10/28/25, 15.95, 16.55, 15.66, 16.42
10/27/25, 15.73, 16.07, 15.62, 15.79
10/24/25, 17.02, 17.22, 16.02, 16.37
10/23/25, 18.36, 19.35, 17.08, 17.30
10/22/25, 17.84, 21.01, 17.73, 18.60
10/21/25, 18.65, 18.89, 17.40, 17.87
10/20/25, 20.53, 21.02, 18.23, 18.23
10/17/25, 28.41, 28.99, 20.73, 20.78
10/16/25, 20.49, 25.43, 19.85, 25.31
10/15/25, 20.02, 22.44, 19.11, 20.64
10/14/25, 21.46, 22.94, 19.18, 20.81
10/13/25, 19.45, 20.77, 18.61, 19.03
10/10/25, 16.36, 22.44, 16.23, 21.66
10/09/25, 16.31, 17.27, 16.26, 16.43
10/08/25, 17.17, 17.20, 16.23, 16.30
10/07/25, 16.58, 17.55, 16.19, 17.24
10/06/25, 16.74, 17.09, 16.29, 16.37
10/03/25, 16.35, 17.06, 16.20, 16.65
10/02/25, 16.12, 16.92, 15.93, 16.63
10/01/25, 17.28, 17.28, 15.98, 16.29
09/30/25, 16.49, 16.70, 16.02, 16.28
09/29/25, 15.84, 16.29, 15.74, 16.12
09/26/25, 16.89, 17.05, 15.29, 15.29
09/25/25, 16.55, 17.74, 16.32, 16.74
09/24/25, 16.57, 17.21, 16.18, 16.18
09/23/25, 16.10, 17.07, 15.95, 16.64
09/22/25, 16.14, 16.35, 15.78, 16.10
09/19/25, 15.76, 16.13, 15.29, 15.45
